snr_db,spoofing_asr,flipped,clean_correct_no_drone,avg_clean_no_drone_confidence,avg_mix_no_drone_confidence
20,0.0,0,847,0.9881018557824379,0.9864428982824756
15,0.0,0,847,0.9881056922244913,0.9843239932724549
10,0.0011806375442739079,1,847,0.9881014761282956,0.9785171031177818
5,0.0035460992907801418,3,846,0.9880994758425593,0.9658096588038384
0,0.009445100354191263,8,847,0.9883525623481417,0.9530484877095735
-5,0.030696576151121605,26,847,0.9881832767827733,0.9329316213577458
-10,0.03546099290780142,30,846,0.9880933314914118,0.9227952877363415
-15,0.0425531914893617,36,846,0.9881381219160472,0.921995476461522
-20,0.048406139315230225,41,847,0.9881032812271658,0.9178583180849734
