epsilon,alpha,num_steps,num_eot_samples,total_samples,digital_asr,ota_asr,adv_accuracy_digital,adv_accuracy_ota,avg_confidence_drop,std_confidence_drop,avg_l2_norm,avg_linf_norm,avg_snr_db
0.001,0.0001,20,5,400,0.8175,0.365,0.1825,0.635,0.7361719991904291,0.30858985006314305,0.18135358593784845,0.0010000302886160521,42.27664925501897
0.005,0.0005,20,5,400,0.99,0.9225,0.01,0.0775,0.9645983352008881,0.11286583365977433,0.918221441599039,0.005000002521018569,28.186651413257305
0.01,0.001,20,5,400,1.0,0.99,0.0,0.01,0.9718614664208122,0.08327991887808935,1.8146604987291188,0.010000005042037139,22.278174070211556
0.02,0.002,20,5,400,1.0,1.0,0.0,0.0,0.9738519501510626,0.07419756734672506,3.5463743530786953,0.020000010048254177,16.466259002685547
0.05,0.005,20,5,400,1.0,1.0,0.0,0.0,0.972878413163125,0.0747090359204599,8.626356216577383,0.050000011992569156,8.753509869942299
