epsilon,total_samples,attack_success_rate,adv_accuracy,avg_confidence_drop,std_confidence_drop,avg_l2_norm,avg_linf_norm,avg_snr_db
0.001,400,0.0825,0.9175,0.1266986472904682,0.18961870703306974,0.12469922034786297,0.0009511471681225186,45.22660020681528
0.005,400,0.175,0.825,0.2357378540262016,0.23488963611995017,0.6234970986843109,0.004755611585166592,31.249212705172024
0.01,400,0.2375,0.7625,0.3008049345693548,0.2580268056827232,1.246994463297037,0.009511223170333184,25.228674301734337
0.02,400,0.3125,0.6875,0.35688717026950145,0.27321978826563215,2.493989119162926,0.01902244634066637,19.208088874816895
0.05,400,0.355,0.645,0.3978239941850188,0.2818424905327179,6.234973082175622,0.047556102132567994,11.249292006859413
