snr_db,spoofing_asr,flipped,clean_correct_no_drone,avg_clean_no_drone_confidence,avg_mix_no_drone_confidence
20,0.23595505617977527,42,178,0.9624674832553006,0.7312875796687468
15,0.43820224719101125,78,178,0.9624674832553006,0.5633950057233327
10,0.6067415730337079,108,178,0.9624674832553006,0.3816557464327754
5,0.7415730337078652,132,178,0.9624674832553006,0.28529943701855837
0,0.8539325842696629,152,178,0.9624674832553006,0.1741873330679431
-5,0.9044943820224719,161,178,0.9624674832553006,0.11307065572703506
-10,0.898876404494382,160,178,0.9624674832553006,0.1243674742247483
-15,0.9606741573033708,171,178,0.9624674832553006,0.0649685721328621
-20,0.9438202247191011,168,178,0.9624674832553006,0.08534866140341679
