epsilon,alpha,num_steps,total_samples,attack_success_rate,adv_accuracy,avg_confidence_drop,std_confidence_drop,avg_l2_norm,avg_linf_norm,avg_snr_db
0.001,0.0001,40,400,0.99,0.01,0.9662166124306153,0.11524068362772655,0.19340841128275946,0.0010000198246696247,41.732577103834885
0.005,0.0005,40,400,1.0,0.0,0.9731350730254781,0.07699636211917303,0.9428822489885184,0.005000002574748718,27.983404526343712
0.01,0.001,40,400,1.0,0.0,0.9737606590849847,0.0745651578694872,1.8521082401275635,0.010000005149497436,22.12352774693416
0.02,0.002,40,400,1.0,0.0,0.9738859979486005,0.07415288617510367,3.635129772699796,0.020000010298994873,16.270310181837814
0.05,0.005,40,400,1.0,0.0,0.9738859979808331,0.07415288607561973,8.916579283200777,0.05000001292389173,8.482147565254799
