attack,epsilon,num_steps,num_eot_samples,total_samples,transfer_asr_digital,transfer_asr_ota,adv_accuracy_digital,adv_accuracy_ota,avg_confidence_drop,std_confidence_drop,avg_snr_db
EOT-PGD,0.001,20,5,400,0.4875,0.485,0.5125,0.515,0.3399946941116252,0.4831534784255674,44.01730023897611
EOT-PGD,0.005,20,5,400,0.4875,0.485,0.5125,0.515,0.3407537014479008,0.482763289299972,29.90591338964609
EOT-PGD,0.01,20,5,400,0.4875,0.485,0.5125,0.515,0.34117132739828293,0.48227882441020786,23.942270755767822
EOT-PGD,0.02,20,5,400,0.485,0.5175,0.515,0.4825,0.34521191680643826,0.47684866192131026,18.194841073109554
EOT-PGD,0.05,20,5,400,0.56,0.73,0.44,0.27,0.46874752116797025,0.3232608148882353,10.834801527170034
